,Unnamed: 0,temp,humidity,cloudcover,tempmax,tempmin,dew,solarradiation
68,68,43.7,69.4,50.5,77.1,30.3,33.5,217
69,69,38.3,79.4,78,57.1,26.7,31.9,98
70,70,36.1,72.9,66.2,62.8,19.8,27.7,168.2
71,71,38.5,57.5,11.8,77.6,23.1,23.8,237.9
72,72,39.7,56.4,9.6,81.2,25.6,24.2,234.5
73,73,39.7,61.9,8.5,80.9,25.2,26.6,232.3
74,74,45.1,62.6,21,82.2,25.8,31.3,220.5
75,75,39.6,61.7,34.2,80.7,25.4,26.4,193
76,76,39.7,63,22.7,75.5,24.2,27.1,221.9
77,77,42.4,60.6,10.9,82.5,24.2,27.9,223
78,78,38.3,55.9,5.6,83,23.4,22.5,225.3
79,79,39.3,54.1,4.7,82.5,24.5,22.7,223.3
80,80,40.5,56.1,9.9,83,26,24.9,219.3
81,81,41.8,56.5,55.5,78.5,27,26.3,201.7
82,82,41.1,55.1,13.1,81.8,27.4,25,215.3
83,83,40.9,54.6,24.6,82.5,27,24.9,206.3
84,84,41.1,51.3,5.4,83.6,26.5,23.2,209.9
85,85,42.8,53.2,24.6,83,29.2,25.7,207.4
86,86,37.2,45.1,50.8,75.3,27.9,16.7,201.9
87,87,41,54.5,40.4,80.7,27,24.3,194.8
88,88,39.8,47.3,5,80.3,24.5,19.6,205
89,89,40.7,43,15.4,79.8,27,17.8,195.7
90,90,40.7,44.3,37.7,79.4,27,18.4,176.8
91,91,38.6,44.6,23.7,78.9,26.7,16.8,197.8
92,92,39.4,54.9,36.8,79.4,26.9,23,166.8
93,93,38.4,64.3,20.8,78.5,24.9,25.8,188.1
94,94,39.4,75.3,72.7,70,25.4,31.5,128.4
95,95,38.2,70.7,29.7,72.2,23.8,28.6,188.9
96,96,39,50,9.7,75.5,26,20.2,191.5
97,97,38.8,56,10.6,77.3,23.3,23.3,192
98,98,36.3,54.7,6.7,77.6,20.2,20.3,191.2
99,99,35.2,48.9,6.2,78.9,18.2,16.7,193.4
100,100,35.7,49.4,59.1,76.4,20.7,17.4,181.1
101,101,37.1,50.9,28.3,78.2,22.4,19.4,187.8
102,102,35.5,47.8,46.4,77.1,21.8,16.9,180.9
103,103,37.5,53.1,1.3,75.3,23.4,21.1,183.1
104,104,35.7,50.9,0.2,77.1,21.6,18.3,181.3
105,105,35.2,48.2,0,77.1,20.6,16.4,181.8
106,106,36.8,47.8,0.3,76.4,22,17.6,182
107,107,34.5,49.2,13.1,75.8,21.1,16.4,172.8
108,108,33.8,53.2,2.2,74,20.2,17.6,175.7
109,109,33.7,47.3,44,69.5,18.2,15.1,158.7
110,110,35.9,52.1,85.2,68.6,22.5,19.3,117.8
111,111,37.2,71.1,96.7,62.9,25.4,28.2,79
